bldg_id,in.representative_income,in.sqft..ft2,in.area_median_income,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.federal_poverty_level,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.income,in.income_recs_2020,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.hot_water.energy_savings..kwh,out.site_energy.net.energy_savings..kwh,out.electricity.net.energy_savings..kwh,out.utility_bills.total_bill_savings..usd,out.energy_burden_savings..percentage,out.emissions_reduction.total.aer_mid_case_avg..co2e_kg
108458,190180.0,2179.0,120-150%,4,3,"CA, San Bruno",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,1,1,Electricity,Uninsulated,60% Usage,180000-199999,150000+,Occupied,Low,Natural Gas Tankless,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-435.5036103172,1001.4238468734002,-435.5036103171987,39.470000000000255,0.0207540225049953,289.10616886690013
108468,52730.0,2678.0,30-60%,3,3,"CA, South San Francisco",Standard,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,2500-2999,2500-3999,2,2,Natural Gas,Uninsulated,90% Usage,50000-59999,40000-59999,Occupied,Medium,Electric Standard,Electricity,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,905.0034647776,834.3733368594039,907.3480333392,237.35999999999967,0.4501422340223771,66.95930565939989
108623,168088.0,2179.0,120-150%,4,3,In another census Place,EnergyStar,Yes,120% Usage,120% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Natural Gas,Uninsulated,150% Usage,160000-179999,150000+,Occupied,High,Natural Gas Standard,Natural Gas,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,-630.10280093,4037.3470630752017,-620.1383845431992,146.6300000000001,0.0872340678692116,1010.3180371669
108656,243614.0,1698.0,120-150%,3,3,"CA, Daly City",Standard,Yes,120% Usage,120% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Electricity,Uninsulated,120% Usage,200000+,150000+,Occupied,High,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,6220.7265360652,3726.105586522801,3726.105586522801,994.7699999999996,0.408338601229814,272.5545832856001
109276,73236.0,1228.0,30-60%,1,3,"CA, San Bruno",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,110% Usage,70000-79999,60000-99999,Occupied,Medium,Natural Gas Tankless,Natural Gas,Yes,Heated Basement,0.266971414,3.741846154,4.95,1.964713414,-517.8565810434,1538.330047479801,-526.0625710089998,-2.019999999999982,-0.0027582063466051,428.4678886257002
109491,64828.0,1138.0,30-60%,2,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,200-300%,20 to 49 Unit,"Multi-Family with 5+ Units, 4-7 Stories",Multi-Family with 5+ Units,1000-1499,0-1499,4,4+,Electricity,Uninsulated,80% Usage,60000-69999,60000-99999,Occupied,Low,Natural Gas Premium,Natural Gas,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,-807.1177273308,4292.025823079001,-807.1177273307994,185.77999999999997,0.2865737027210464,1096.0878184101998
110018,64649.0,1228.0,30-60%,3,3,"CA, Daly City",Standard,Yes,100% Usage,100% Usage,20 ft^2,200-300%,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,1,1,Natural Gas,Uninsulated,90% Usage,60000-69999,60000-99999,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Garage,0.266971414,3.741846154,4.95,1.964713414,-894.7459773206,4620.265421702999,-827.9257733150007,144.20000000000005,0.2230506272332131,1172.2096899436
110426,89903.0,1138.0,60-80%,2,4,In another census Place,EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,400%+,2 Unit,Multi-Family with 2 - 4 Units,Multi-Family with 2 - 4 Units,1000-1499,0-1499,2,2,Natural Gas,Uninsulated,80% Usage,80000-99999,60000-99999,Occupied,Medium,Natural Gas Standard,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-497.0485350592,3106.846415190201,-497.0485350591998,108.94000000000004,0.1211750442143202,778.6185186471998
110893,255800.0,854.0,150%+,2,3,In another census Place,,,100% Usage,100% Usage,20 ft^2,400%+,5 to 9 Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,750-999,0-1499,3,3,Electricity,Uninsulated,90% Usage,200000+,150000+,Occupied,Medium,Electric Standard,Electricity,No,Conditioned Mechanical Room,0.266971414,3.741846154,4.95,1.964713414,1429.6006804356002,1429.6006804356002,1429.6006804356002,381.6700000000001,0.1492064112587959,114.38238794289998
111476,55390.0,623.0,30-60%,1,3,In another census Place,,,80% Usage,80% Usage,20 ft^2,400%+,50 or more Unit,"Multi-Family with 5+ Units, 1-3 Stories",Multi-Family with 5+ Units,500-749,0-1499,3,3,Electricity,Uninsulated,70% Usage,50000-59999,40000-59999,Occupied,Low,Electric Standard,Electricity,Yes,Living Space,0.266971414,3.741846154,4.95,1.964713414,655.3069129672,514.3397282010005,514.3397282010005,137.32999999999993,0.2479328398627909,50.56194148390006
112585,185611.0,1698.0,120-150%,3,3,"CA, San Bruno",EnergyStar,Yes,80% Usage,80% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,1500-1999,1500-2499,1,1,Natural Gas,Uninsulated,80% Usage,180000-199999,150000+,Occupied,Low,Natural Gas Premium,Natural Gas,Yes,Outside,0.266971414,3.741846154,4.95,1.964713414,-633.3265827022,2977.8951443022015,-633.3265827022005,223.11000000000007,0.1202030052098205,766.4395635127
112997,374385.0,2179.0,150%+,4,3,"CA, Redwood City",EnergyStar,Yes,100% Usage,100% Usage,20 ft^2,400%+,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,2,2,Natural Gas,Uninsulated,90% Usage,200000+,150000+,Occupied,Medium,Natural Gas Premium,Natural Gas,Yes,Unheated Basement,0.266971414,3.741846154,4.95,1.964713414,-983.8395826614,4298.1803155532,-771.3630567664004,133.96000000000004,0.0357813480775137,1091.6063257945998
