bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.door_area,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.utility_bills.total_bill_savings..usd
197844,82125.0,1138.0,2,3,5.0,0.0,0.0,20.0,1249.5,749.5,21,4,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,104.39
198085,305836.0,1698.0,3,3,3.0,2.0,1.0,20.0,1749.5,1999.5,1,1,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,91.4100000000003
198735,107271.0,2678.0,3,3,1.0,2.0,1.0,20.0,2749.5,3249.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,97.8400000000002
198762,189083.0,854.0,1,3,5.0,0.0,0.0,20.0,874.5,749.5,3,3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,231.5
199110,47541.0,1228.0,4,3,4.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,126.57
200370,55558.0,1138.0,2,3,5.0,0.0,0.0,20.0,1249.5,749.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,26.55
200568,165890.0,2678.0,3,3,5.0,2.0,1.0,20.0,2749.5,3249.5,2,2,2.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,134.26
200664,322393.0,881.0,3,3,1.0,2.0,1.0,20.0,874.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,108.07
202106,18785.0,1228.0,2,3,5.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,91.4000000000001
202146,41864.0,1228.0,3,3,2.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,94.4100000000001
202215,83514.0,1228.0,2,3,6.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-19.6499999999996
202252,147645.0,623.0,2,3,1.0,1.0,1.0,20.0,624.5,749.5,4,4,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,191.84
203182,63744.0,1698.0,3,3,0.0,1.0,1.0,20.0,1749.5,1999.5,1,1,2.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,350.98
203434,241160.0,1138.0,3,3,4.0,1.0,1.0,20.0,1249.5,749.5,3,3,2.0,0.0,0.0,1.0,3.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,51.26
203667,282618.0,2179.0,3,3,3.0,2.0,1.0,20.0,2249.5,1999.5,1,1,1.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-71.5599999999995
204682,82116.0,2678.0,3,3,5.0,2.0,1.0,20.0,2749.5,3249.5,2,2,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,70.1700000000001
205448,145345.0,1228.0,3,3,3.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,138.49
205464,101119.0,3310.0,4,3,1.0,2.0,1.0,20.0,3499.5,3249.5,2,2,1.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,0.266971414,3.741846154,4.95,1.964713414,189.51
206212,184556.0,2179.0,4,3,5.0,2.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,-19.4900000000002
206342,259433.0,1698.0,3,3,4.0,2.0,1.0,20.0,1749.5,1999.5,2,2,2.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,54.96
207141,128814.0,1138.0,2,3,1.0,0.0,0.0,20.0,1249.5,749.5,2,2,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,53.8499999999999
207876,6328.0,854.0,2,3,1.0,0.0,0.0,20.0,874.5,749.5,3,3,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,112.55
207928,329307.0,2179.0,3,3,5.0,1.0,1.0,20.0,2249.5,1999.5,2,2,2.0,0.0,0.0,2.0,4.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,99.7800000000002
208203,245486.0,1138.0,2,3,5.0,0.0,0.0,20.0,1249.5,749.5,2,2,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,100.14
208270,353551.0,1228.0,5,3,5.0,1.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,111.54
208614,64180.0,854.0,1,3,5.0,2.0,1.0,20.0,874.5,749.5,3,3,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,94.76
208888,151522.0,2678.0,4,3,6.0,2.0,1.0,20.0,2749.5,3249.5,1,1,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.266971414,3.741846154,4.95,1.964713414,54.4299999999998
209345,109679.0,623.0,1,3,5.0,0.0,0.0,20.0,624.5,749.5,2,2,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.266971414,3.741846154,4.95,1.964713414,8.3900000000001
210091,93449.0,1228.0,1,3,4.0,2.0,1.0,20.0,1249.5,749.5,1,1,2.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.266971414,3.741846154,4.95,1.964713414,2.73999999999978
