bldg_id,emis_red_pred,actual_emiss_red,bill_red_pred,actual_bill_sav,elecsav_pred,actual_elec_save,norm_income,actual_income_rep,total_score
431943,0.08843946993828497,82.5492754163,0.9679048654051292,245.03,0.9790363418645346,917.6055207962,0.015028569887377234,8644.0,0.476438147758876
166126,0.07776477923463317,140.6771376318,0.9938247850426687,521.59,0.9519113713566865,1953.6117539532,0.05932634401766208,31638.0,0.4672492205125033
318413,0.11648662118366929,255.6990908164,0.9468971008463332,894.5,0.9420860059150915,3350.3884745264,0.056001217543413515,29912.0,0.44544794165145984
283662,0.15524868607527129,252.9412492068,0.9949255360554139,923.15,0.9919358789680477,3457.9455572898,0.20724245681766518,108418.0,0.39384153961887436
35021,0.01707663605889406,86.6678941359,0.8832835634935383,477.5,0.8646492348217197,1845.1754579792,0.09888109301492261,52170.0,0.39220123523930783
15482,0.06539315039400129,139.5794440964,0.9679048654051292,460.84,0.8605398139339713,1726.188603478,0.21516804796196332,112532.0,0.37636840872158295
190991,0.09644633877282315,159.8595589591,0.9299783768015832,524.72,0.802899983766957,1965.6276678314,0.18122709881751875,94914.0,0.37437563899203224
294838,0.00919025457306849,235.9995741873,0.777649836074823,813.72,0.7294429334060124,3047.93913008,0.06648711754302822,35355.0,0.3555813592658974
26870,0.0832565333222314,149.9712452931,0.8727689734628782,520.69,0.7600959488519926,1950.387972181,0.1757211825583053,92056.0,0.34852389545228646
162783,0.05108563769132704,144.8002922751,0.8581103163987652,466.89,0.8117593429514458,1748.7550758834,0.17125171939477304,89736.0,0.3434292985019961
331120,0.00919025457306849,110.7944722962,0.777649836074823,419.74,0.7294429334060124,1572.326291623,0.09226359044305481,48735.0,0.3426931228158841
53041,0.11955885722716579,278.4013889349,0.8472483164766557,963.68,0.7672627600611607,3609.4633005832,0.1621914240249057,85033.0,0.34252844622587497
278714,0.13603787459986763,157.8909680733,0.9846055428437707,534.56,0.8762297435379941,2002.2615516064,0.3182970574749845,166064.0,0.3331542426843931
506778,0.17893410960876457,129.0651729598,0.9535095056454973,446.56,0.8865409660413364,1672.5565976314,0.28744042321192576,150047.0,0.3330345412167858
241531,0.06812473890922094,191.9376113655,0.9521496423919776,681.51,0.8514435984030368,2552.649021442,0.293951968682934,153427.0,0.3290988368545218
322120,0.02860107014619916,247.2940242003,0.9521496423919776,912.38,0.9587284286404789,3429.8107345506,0.298425284831952,155749.0,0.3268621787800128
314840,0.11414479885533994,209.3827739157,0.9299783768015832,734.57,0.8605214128874341,2751.6442781078,0.3140992297882014,163885.0,0.30793957350669093
377903,0.05676336167182968,112.7313117161,0.777649836074823,354.03,0.7886751423792053,1326.146592655,0.17107062907694026,89642.0,0.30328960349894135
341845,0.1310390670515643,137.5473502788,0.9486023119940882,453.74,0.9124851214116709,1699.5191360898,0.3647563564628052,190180.0,0.29192297776564147
320286,0.03865691726581426,50.7433784319,0.777649836074823,187.46,0.6719752060824022,702.1982841992,0.2102998008006504,110005.0,0.2836750176370863
433159,0.04996970835638879,29.7057643112998,0.9643617200709461,370.93,0.9618146545417802,1506.385300828,0.4771248251707836,248508.0,0.24361844745008127
506190,0.08892366381673002,80.3584242692,0.9610744139998566,264.98,0.8891347263185918,992.631714767401,0.47527539213759784,247548.0,0.24289951093112938
87447,0.12242779437984842,214.7578435002,0.8835742160168915,752.34,0.7903612296126182,2818.1714110432,0.4272652664917411,222627.0,0.22815447476257517
171196,0.051887301957120865,117.3488820427,0.949703063006833,391.25,0.8803940965910653,1465.6484220702,0.5093454162958169,265233.0,0.2201788233555081
107198,0.07140890371998934,206.9016236518,0.9486023119940882,733.56,0.8856578197287744,2747.8343541952,0.5160496110411152,268713.0,0.21627635047648647
300224,0.1653840166966348,265.3152490604,1.0,943.3,0.9676460769129104,3533.2648223312,0.6001602841962095,312373.0,0.19991985790189526
494532,0.1494909998407697,274.3099857575,0.9394226778851772,954.95,0.7851175363859743,3576.932411791,0.5591221357869145,291071.0,0.19015027104913135
181194,0.0,151.2821272424,0.9030440397211094,543.65,0.7469772722971256,2036.5508668198,0.5354070101217929,278761.0,0.18381851479965822
192843,0.15590291300215262,74.5660497043,0.9004101203552181,264.33,0.8259821210209602,989.994075135601,0.6282812987643476,326970.0,0.13606441079543524
35972,0.1708119690927391,512.5094829393,0.9394226778851772,1751.63,0.7967429170294643,6561.2751196376,0.6813234234546639,354503.0,0.12904962721525665
156254,0.14202437899656983,175.8622977727,1.0,801.150000000001,1.0,3070.2125314152,0.8007582675436061,416499.0,0.09962086622819694
23919,0.8551069066016806,615.8106092831,0.1593785553533962,93.5700000000002,0.0015152826271979366,-362.23584276720095,0.002845429781266014,2320.0,0.0782665627860651
56555,0.9216993663209541,517.7257951943,0.16606878529379188,9.39999999999986,0.05594789430759323,-595.520414646399,0.07081209375084284,37600.0,0.04762834577147452
175435,0.852864540301215,416.1301761617,0.14540546242050822,59.1399999999999,0.05885764490771792,-262.298607829,0.05072455392060538,27173.0,0.047340454249951425
136832,0.8229360109707765,793.1924414953,0.13952764065773537,107.24,0.05555502258845457,-523.131860307,0.04713549794057926,25310.0,0.04619607135857806
284157,0.7545816832430472,536.0327832475,0.1255545477248473,84.75,0.05466868702168943,-304.5008419378,0.04208808695417644,22690.0,0.04173323038533543
34495,0.8636798426224132,990.4824428268,0.15761954056738375,144.67,0.05365847600711047,-603.1402624716,0.07816359005775625,41416.0,0.03972797525481375
161280,0.8795623058446315,866.5791510376,0.13952764065773537,115.87,0.021518012123275664,-574.419297592,0.0772619914540782,40948.0,0.03113282460182859
271690,0.6214100731007226,208.3395114647,0.06167316041845251,-17.1800000000001,0.07162808158228838,-322.9643193604,0.0,843.0,0.030836580209226257
144822,0.7914954121506559,929.8598225763,0.14540546242050822,125.75,0.07591444661137144,-614.2769631392,0.08559214607438574,45272.0,0.02990665817306124
463804,0.8870055720035763,961.275630122501,0.15761954056738375,116.29,0.05659923623333313,-684.0278778468,0.10177468511476118,53672.0,0.02792242772631129
398957,0.7209434427122898,918.0754928037,0.10023380573409565,49.9499999999998,0.10115725753363311,-906.175749058401,0.060545813923918945,32271.0,0.019843995905088355
103333,0.7261020341858235,461.6118831016,0.07318336622504748,69.6300000000001,0.05732266823725945,-276.659090268799,0.04139069658124598,22328.0,0.01589633482190075
96423,0.8893259158713643,1080.5522797377,0.1444564846625131,111.87,0.055110467783467246,-846.3892507376,0.11625227807766848,61187.0,0.014102103292422306
33698,0.7581559928520253,578.489029079499,0.10409529310559405,83.0700000000002,0.043361406410885976,-361.356629556599,0.07955451781813137,42138.0,0.01227038764373134
21540,0.6132190892047124,1723.4559612809,0.1512636948193032,242.54,0.06988521705307875,-1084.6560308102,0.12965681458277947,68145.0,0.01080344011826187
258034,0.6025863456298575,857.6751328145,0.1512636948193032,190.22,0.099353525805721,-496.755463989,0.13217474059775217,69452.0,0.009544477110775523
44216,0.14202437899656983,202.3158047911,1.0,1149.92,1.0,4475.4883130242,0.9819815133756391,510568.0,0.009009243312180448
409420,0.7099411371976813,619.2352316766,0.07673632710921154,71.31,0.06485236233222626,-457.7770116524,0.05928781416280405,31618.0,0.008724256473203743
6393,0.5716127135627272,530.6395699682,0.11944689172620185,53.23,0.14808290003206664,-424.6599807198,0.10245088406751972,54023.0,0.008498003829341065
435676,0.5231272160425552,364.7880558014,0.04291231948066279,48.2800000000002,0.07074762121419421,-246.7658411084,0.028242383610940936,15503.0,0.007334967934860928
202146,0.6168114636796839,861.5488116543,0.09012220017270611,94.4100000000001,0.0678845328077178,-652.3762022652,0.07902665880657628,41864.0,0.005547770683064918
328877,0.7667116559272015,1058.1720322019,0.10409529310559405,134.83,0.04368935702078204,-724.4716855344,0.09350425176948358,49379.0,0.005295520668055234
150192,0.47647225163230605,989.647832866,0.0705846910479606,147.53,0.2020387686981584,-592.2966328742,0.06082130238615391,32414.0,0.004881694330903345
58669,0.5306507487384182,721.0893983601,0.03463084658402121,64.6399999999999,0.047113767559753966,-610.1739681564,0.025231275453785364,13940.0,0.004699785565117924
167007,0.7065386576626749,469.3592407812,0.10888304111049583,68.1500000000001,0.06844109606204016,-290.140359498,0.1053656675875302,55536.0,0.0017586867614828167
214018,0.620325529075729,1749.1111457281,0.09027705703322826,399.99,0.0784538972717561,-937.5343535698,0.0898400625724843,47477.0,0.00021849723037198343
81652,0.48741346116332646,742.394631979,0.08559576967064475,149.33,0.1865891618622506,-529.579423851399,0.08539757030735265,45171.0,9.909968164605043e-05
135320,0.5535572338528174,808.5420072961,0.08116286272558211,122.97,0.21384127462918148,-473.0167073028,0.082093635253276,43456.0,-0.0004653862638469425
314670,0.9076062591991169,1528.0438323612,0.14431738913054423,205.28,0.008262608289601694,-999.6654204522,0.14616493089670532,76714.0,-0.0009237708830805436
242273,0.5219966235160782,532.0275626204,0.08116286272558211,89.71,0.2301433416616582,-278.124445619801,0.0918339825613877,48512.0,-0.005335559917902792
320801,0.8229545045646887,375.8693174005,0.16456584625614273,-3.18000000000029,0.005478432367643704,-470.08599660079904,0.17721421443405422,92831.0,-0.006324184088955742
165781,0.47325039894836873,536.2641153562,0.003957695848010423,102.13,0.12075646072849486,-234.7499272302,0.023975202185413366,13288.0,-0.010008753168701472
