bldg_id,emis_red_pred,actual_emiss_red,bill_red_pred,actual_bill_sav,burden_red_pred,actual_burd_red,elecsav_pred,actual_elec_save,total_score
166126,-1.1160928592568242,-1.2254592940165911,1.9757536638448085,1.488151004029353,4.0161958485906215,2.7870332283716044,1.469194861756506,1.7033739673830588,1.586262878733778
161294,-0.7255293652193732,-1.7374468015078113,2.7799552067368505,5.455224635994336,2.2115976853874857,2.375216224242195,1.9736361176086037,4.94716455937031,1.5599149111283916
490042,-0.829085702845813,-0.9776498086721424,1.9472729018740225,3.159050655586276,3.48993245909001,2.2675875381351176,1.543481995933224,2.866406941553949,1.5379004135128609
411128,-1.4789201741625435,-0.7383782637048013,1.55799761843206,5.014977740588115,4.130285144147017,6.377671362982691,1.6169832432338047,4.158154069389852,1.4565864579125847
132375,-1.4779636595997132,-1.2753818368750398,1.686426062241332,1.0238687913125109,3.769405430589358,5.21972333116063,1.5878689155990473,1.3802553857720137,1.391434187207506
458545,-0.8081902772335845,-1.396566792239272,2.6269506903077375,2.443510357279696,1.747916807886753,1.0830093290994875,1.9222780605769452,2.5752850987070888,1.3722388203844629
294838,-1.4821460519621557,-1.016095446846309,1.4413569669880681,2.788417160687115,3.7476178258431716,4.067061263126796,1.5799366524498168,2.608493835151734,1.3216913483297252
162319,-1.3802042909875543,-1.240492843642095,1.333328895248445,1.2499343035729682,3.3938504880419615,3.8014667243368914,1.4740861448893594,1.5375726846959217,1.2052653092980528
1979,-1.5900572642582682,-1.259352028162359,1.3022957470463379,1.1477842050028255,2.6902345149499824,1.4420752364650449,1.6110169998054293,1.4665496206208757,1.0033724993858704
500603,-1.72224395179145,-1.2266946552846916,1.185441719419505,1.4026920980360302,3.1889026834234713,1.8898298425743905,1.3048497346817176,1.643986081040444,0.989237546433311
283662,-1.2714031245928488,-0.978885169940242,2.2933713494304633,3.275488415002177,0.9927614152374425,1.22432969091949,1.7206065284316268,2.947610786144872,0.9338340421266709
39344,-0.9181100210572186,-1.2701813644399746,2.466810220323961,1.174045014657024,0.11204628116398527,-0.1744630733901173,2.0473767981801876,1.4847295858277991,0.9270308196527288
35021,-1.471366983168647,-1.3440838635267771,1.2851003392021405,1.2919070891728135,2.2551757350266515,1.3494093267460872,1.5352227125162996,1.6136861390289066,0.9010329508941111
465598,-1.0170930634736803,-1.1862963492996572,2.402846376302418,1.6807896212893,0.3481150501178256,-0.0412700641401805,1.8242146123498806,1.8374209108421065,0.889520743824111
212284,-1.7028976654160914,-1.845630575784381,1.6040735641470771,1.1191198636175657,1.680167507283703,1.0321132229048395,1.6824208122234088,1.7045859650635198,0.8159410545595244
156254,-1.598776639420891,-1.1481794766242586,2.5682455848879147,2.7324682831696148,0.05420977198459735,-0.0677910208357032,2.2177647816289845,2.6269161998947497,0.8103608747701514
363948,-1.6165948798454377,-1.3699965623842572,2.472675622382183,1.9834120701687747,0.05420977198459735,-0.1470016037560167,2.2177647816289845,2.1663570813193656,0.7820138240375818
190991,-1.3925349847976332,-1.183327497219869,2.045590664176025,1.502082586100139,0.8395144790855483,0.6388921315561936,1.612770951145329,1.7133123483628436,0.7763352774023173
275673,-1.37812553823205,-1.1697385232707729,1.8523147250824328,1.6386833061488402,0.6671578907005077,0.6948111913771908,1.6230435777356165,1.8080905669749363,0.6910976638216266
275009,-1.3790137993159506,-1.3726864619196335,2.037422209984889,0.3517701035525326,0.12651438360270223,-0.1459941787973648,1.9141290476226915,0.9124242811138622,0.674762960473583
