bldg_id,in.representative_income,in.sqft..ft2,in.area_median_income,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.federal_poverty_level,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.income,in.income_recs_2020,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.utility_bills.total_bill_savings..usd
494591,1.5747379563203543,-0.9687102246560259,1.187785358331824,-1.6227411408672818,-0.17116329922036363,-0.8216869867291317,1.0,1.0,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,0.13839403177798731,0.4572941888705285,0.2985664699326163,-1.1419161211395654,-0.7459531673770783,-0.060041941078257055,0.262173793943452,-0.6108959216643721,0,0.4588971715914959,1.101350189674777,0.8862060887087735,0,0.020980976910928154,-0.14900869736738673,-0.5140030482285791,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.4936054180782788
495276,11.226913289323205,1.231192985871285,1.187785358331824,2.3023745504100903,-0.17116329922036363,-0.26580888402534164,1.0,1.0,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,1.5166896137482986,2.024388633115798,-0.060041941078257055,0.262173793943452,-0.6108959216643721,0,-0.3866930711662601,1.101350189674777,0.8862060887087735,0,0.020980976910928154,-0.14900869736738673,-0.5140030482285791,1.0,2.7473519243753564,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.5462160570804182
496285,-0.4995119966072383,-0.32105015537669596,-0.5345215675525666,0.33981670477140424,-0.17116329922036363,-0.26580888402534164,0.0,1.0,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,-0.35997325793725243,-0.7459531673770783,-0.36139530249008056,-0.8431509213221412,-0.6108959216643721,0,-0.3866930711662601,-0.3003762492408353,0.32520075252487357,0,0.020980976910928154,2.3243010195653,-0.5140030482285791,1.0,1.0677063743222093,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.9638519502759056
496841,-1.0031126083948532,-0.4173962813851913,-1.108623876180697,-0.6414622180479387,-0.17116329922036363,-0.8216869867291317,,,0.020980976910927786,0.020980976910927786,0.0,-1.732783473395723,-0.28440976385679123,0.4572941888705285,0.2985664699326163,-0.35997325793725243,-0.7459531673770783,0.24131142033356648,1.3674985092090453,1.3864847877272897,0,-0.3866930711662601,-1.4295384963548168,-1.8065768894211072,0,0.020980976910928154,-0.7673361266005585,-0.5140030482285791,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.0806875686511713
497773,-0.6490129659593338,-0.32105015537669596,-0.15178669513381315,0.33981670477140424,-0.17116329922036363,-0.8216869867291317,1.0,1.0,0.020980976910927786,0.020980976910927786,0.0,-1.2791436867690236,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,-0.35997325793725243,-0.7459531673770783,-0.36139530249008056,-0.8431509213221412,-0.6108959216643721,0,-0.3866930711662601,-0.6118692829274509,-0.6845886568179593,0,0.020980976910928154,-0.7673361266005585,-0.5140030482285791,1.0,2.7473519243753564,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.3186817198731979
499620,0.8024581420889622,-0.7214218345675545,1.187785358331824,-1.6227411408672818,-0.17116329922036363,-0.8216869867291317,,,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,1.406805418682323,0.4572941888705285,0.2985664699326163,-0.8291389758586403,-0.7459531673770783,-0.36139530249008056,-0.8431509213221412,1.3864847877272897,0,-0.3866930711662601,1.101350189674777,0.8862060887087735,0,0.020980976910928154,2.3243010195653,-0.5140030482285791,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.5123440636111891
499643,-0.6030272824726761,-0.9687102246560259,-0.5345215675525666,-1.6227411408672818,-0.17116329922036363,1.4018254240860284,,,-1.3611408770964681,-1.3611408770964681,0.0,0.5354154597377742,2.25241300995188,1.679063707424488,2.3288184654744075,-1.1419161211395654,-0.7459531673770783,-0.060041941078257055,0.262173793943452,-0.6108959216643721,0,-1.2322833139240161,-0.6118692829274509,-0.6845886568179593,0,-1.3611408770964677,-0.7673361266005585,-0.5140030482285791,1.0,0.22788359929563562,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.3008777811245896
499745,-0.19967409274298564,-0.32105015537669596,0.23094817728494035,-0.6414622180479387,-0.17116329922036363,0.8459473213822384,0.0,1.0,1.4031028309183238,1.4031028309183238,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,-0.35997325793725243,-0.7459531673770783,-0.36139530249008056,-0.8431509213221412,-0.6108959216643721,0,1.304487414349252,0.3226098181323959,0.32520075252487357,0,1.403102830918324,0.46931873186578504,1.7719008033871273,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,1.5959538531521797
499906,-0.13827625157810258,0.6970072427797385,-0.15178669513381315,0.33981670477140424,-0.17116329922036363,-0.8216869867291317,0.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,0.8911353231864483,0.63921773286936,-0.060041941078257055,0.262173793943452,1.3864847877272897,0,-0.8094881925451382,0.3226098181323959,0.8862060887087735,0,-1.3611408770964677,0.46931873186578504,1.7719008033871273,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,2.6429144712641097
499949,-0.6851418602405387,-0.4173962813851913,-0.5345215675525666,-0.6414622180479387,-0.17116329922036363,0.8459473213822384,,,1.4031028309183238,1.4031028309183238,0.0,0.5354154597377742,0.9840016230475442,1.679063707424488,2.3288184654744075,-0.35997325793725243,-0.7459531673770783,-0.060041941078257055,0.262173793943452,-0.6108959216643721,0,2.572872778485886,-0.6118692829274509,-0.6845886568179593,0,1.403102830918324,-0.7673361266005585,-0.5140030482285791,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.3707137308660069
