bldg_id,emis_red_pred,actual_emiss_red,bill_red_pred,actual_bill_sav,elecsav_pred,actual_elec_save,actual_burd_red,zscored_income_rep,actual_income_rep,total_score
161294,-0.3931134515886762,-1.7374468015078113,2.7056277308991588,5.455224635994336,1.68747209822049,4.94716455937031,2.375216224242195,-0.5543161560145704,-0.5545793016054735,1.3430978871135313
458545,-0.656602810405603,-1.396566792239272,2.485587189638483,2.443510357279696,1.672372043940948,2.5752850987070888,1.0830093290994875,-0.582816637875042,-0.5830933132468451,1.2752509658260283
490042,-0.6182172864412635,-0.9776498086721424,1.9369292101540454,3.159050655586276,1.531532040685038,2.866406941553949,2.2675875381351176,-0.8079263873246894,-0.8083099270506958,1.1805548458581048
132375,-1.4649337709385373,-1.2753818368750398,1.728352931469553,1.0238687913125109,1.5073890289182654,1.3802553857720137,5.21972333116063,-1.190669931968502,-1.1912351681417916,1.1593338003579137
166126,-0.8768947286329143,-1.2254592940165911,1.8357175691421599,1.488151004029353,1.4004811473021668,1.7033739673830588,2.7870332283716044,-1.0600401914155886,-1.0605434148910806,1.157658557310684
283662,-1.0673620651713986,-0.978885169940242,2.062091722623649,3.275488415002177,1.641167315924941,2.947610786144872,1.22432969091949,-0.4768133797825896,-0.4770397331681295,1.1051930783123431
162319,-1.5050505024695051,-1.240492843642095,1.3712938955731815,1.2499343035729682,1.5587700210672975,1.5375726846959217,3.8014667243368914,-1.1362212502052127,-1.1367606384388729,1.0881281123561686
1979,-1.604558041444385,-1.259352028162359,1.4104705340259103,1.1477842050028255,1.695301736987217,1.4665496206208757,1.4420752364650449,-0.9490918870301811,-0.9495424410014556,1.0844865635646848
411128,-1.5466969936790076,-0.7383782637048013,1.4956029281378072,5.014977740588115,1.556765436115776,4.158154069389852,6.377671362982691,-1.0135749868472237,-1.014056152308386,1.0712295567601382
294838,-1.5805722161308104,-1.016095446846309,1.5716881108274467,2.788417160687115,1.4850293095693625,2.608493835151734,4.067061263126796,-1.0318055722590391,-1.032295392164274,1.0598337960578652
275673,-1.2012762974025581,-1.1697385232707729,1.8964172597065583,1.6386833061488402,1.5581017328000555,1.8080905669749363,0.6948111913771908,-0.5746660469805095,-0.5749388530946086,1.054796329415231
35021,-1.6732114944096073,-1.3440838635267771,1.3505600770822281,1.2919070891728135,1.5969179644541749,1.6136861390289066,1.3494093267460872,-0.9040775332175066,-0.9045067179239586,1.012781311722407
113021,-1.0237002352903075,-1.1202642970015542,1.926535469299901,2.1697747990198364,1.5732494874649552,2.1779922590517966,0.5752952898812984,-0.3154802949652769,-0.3156300601267938,1.0068809538065147
183261,-1.7160174467219507,-1.2638949695998862,1.6293140458582707,0.9230984979953863,1.7251673863196164,1.3102019198413373,0.2993543329973523,-0.5107374608030764,-0.5109799186666278,0.9975492572682286
212284,-1.8735984227383407,-1.845630575784381,1.4069952608843126,1.1191198636175657,1.5863062582971172,1.7045859650635198,1.0321132229048395,-0.858083285438947,-0.8584906357042078,0.9859866988535595
369093,-1.6667864104662156,-1.3062260182140448,1.5381735566321986,0.8229958523813331,1.6630241723903294,1.2517836316430913,0.3402654810500639,-0.5945373850793885,-0.5948196245375265,0.9845269547597665
190991,-1.2261775121388707,-1.183327497219869,1.7015461080892618,1.502082586100139,1.4523543510951544,1.7133123483628436,0.6388921315561936,-0.5793908070330717,-0.5796658560905928,0.9724504529519487
499906,-1.0819992177373066,-1.031587275651915,1.7167152209193521,2.6429144712641097,1.6995208908674688,2.5071708290651515,0.5558895932227241,-0.13821064006713554,-0.1382762515781025,0.956414670777268
500603,-1.7043043914501927,-1.2266946552846916,1.2254943556404934,1.4026920980360302,1.4499924232792614,1.643986081040444,1.8898298425743905,-0.9799319606851691,-0.9803971550909992,0.9486449895003346
6283,-1.5069288230370528,-1.1908691785098002,1.3711203962064835,1.5391592885441172,1.5670769466398662,1.73900669918863,0.7279909884013375,-0.6235847845022146,-0.6238808133745747,0.9374374109442023
38513,-1.8758411176027647,-1.4491493468604804,1.604167709802809,-0.0729428552955264,1.7256697213446965,0.6280896252775857,-0.186540541270801,-0.3154802949652769,-0.3156300601267938,0.9181614072277471
241531,-1.0321866518140987,-1.1128720545747,1.5595966492903528,2.199952475198728,1.67239637761312,2.1988386191557363,0.4259061474923519,-0.13492153861575382,-0.1349855887207694,0.9181356773066349
26870,-1.4999592005920852,-1.2050459453203313,1.3047510046588089,1.4841451178109155,1.4549966944425359,1.7007075724860452,0.6639570648079021,-0.6011003958276421,-0.6013857508856462,0.8732830773978603
275009,-1.462814443825443,-1.3726864619196335,1.6942028515545413,0.3517701035525326,1.692223578533777,0.9124242811138622,-0.1459941787973648,0.026320393274499757,0.0263328881212868,0.8615524393595249
215284,-1.6207926975571014,-1.3772792163115206,1.0788975896456943,0.2062229042826575,1.5308761892177931,0.8111012750272775,0.0483907790606667,-0.5952134359550766,-0.595495996348849,0.844614754647069
164038,-1.8212840952392475,-1.380796010889256,1.2631417484480902,0.508711823621518,1.4577447757242823,1.0217464718914926,0.1987776088219229,-0.6027411485147055,-0.6030272824726761,0.8344201950098179
37850,-1.7185242219535033,-1.1765728606088075,0.8206497316021105,1.3119810301118706,1.4484278760582605,1.5809622016564455,0.8443252162039784,-0.7436104012072552,-0.7439634087757775,0.7947317949105526
194525,-1.9174798946048512,-1.2124680755198016,0.8345986077884592,1.3850661986749075,1.4541211485317072,1.6316237046997375,0.7289982041797389,-0.6680826050615544,-0.6683997579894881,0.7572449730283559
465598,-0.9102979099196061,-1.1862963492996572,2.134876685124117,1.6807896212893,1.6389204499411536,1.8374209108421065,-0.0412700641401805,0.7837404485173962,0.7841125066672481,0.7563915914541055
120884,-1.4892762788065488,-1.3439742750271877,1.0254955166931892,0.6510543139166444,1.4825467277204412,1.1206454826171532,0.0577256154849786,-0.3122063856684051,-0.3123545966360072,0.742852082246681
314840,-1.2105691095106321,-1.0745559300818657,1.3172077381791825,2.436121722699022,1.3391068653149454,2.363427904162412,0.433808686069197,-0.055481762683767574,-0.0555081010487373,0.6946719116158817
171196,-1.8046302069979328,-1.2766968988701135,2.0757250178921063,0.9080096599059402,1.671012738292147,1.299778739789369,-0.1556972985877526,0.7143654749481831,0.7147045993323209,0.6887774357110318
39344,-0.9444526896579347,-1.2701813644399746,2.077115122803103,1.174045014657024,1.7419779845842547,1.4847295858277991,-0.1744630733901173,1.1833244964353733,1.1838862455752206,0.6627716004979171
310897,-1.251382522256674,-1.2658277122290114,2.0827384538468148,1.590523651833853,1.8346805138054354,1.8063937702222892,-0.1289203929315744,1.2663192365226636,1.2669203850191508,0.6453858731090707
114455,-1.1034927124176737,-1.4361780535454354,1.5835772259338285,-0.2216502536932797,1.6461878100195484,0.513434644705923,-0.3442160836007809,0.7330138446090195,0.7333618217682396,0.644937144570112
408407,-1.7153942146908672,-1.5042424743813805,2.0002632635866604,2.7571267383364337,1.923859157700665,2.8203510296964107,0.0353492187753618,1.2010765289801286,1.2016467053848914,0.6377339356344728
107198,-1.5972046619473745,-1.0800054672887247,1.5462577356119198,2.4316262281649994,1.7142833320930666,2.360276710193212,0.090287119316541,0.7407998237953157,0.7411514971233585,0.6130044666262785
56081,-1.6315704064695327,-1.3053194224447136,1.2107676558680505,0.9510061719838294,1.3705358359336555,1.3295938827287217,-0.0214451628437553,0.10955061175669265,0.1096026177466889,0.5943456413731113
156254,-1.4596969891690068,-1.1481794766242586,2.489013806363448,2.7324682831696148,1.9305992784049224,2.6269161998947497,-0.0677910208357032,1.8633936969913873,1.8642782893493035,0.5650546646203417
363948,-1.5499342919405168,-1.3699965623842572,2.351517384830746,1.9834120701687747,1.9305992784049224,2.1663570813193656,-0.1470016037560167,1.8633936969913873,1.8642782893493035,0.5285316500366503
343922,-1.7237382670167012,-1.0517515595763802,1.562660167402014,2.4638958671468503,1.6724448832382415,2.382577467513705,0.0383009792443726,0.9827576725963826,0.983224208427359,0.5143088582951145
306445,-1.5035635084302446,-1.3157402924965869,1.3345941464848,0.7691389376667913,1.4453024015405973,1.2030613248885385,-0.1761282653775021,0.6946536544716576,0.6949834212381419,0.48628734272867724
56492,-1.5163119267033045,-1.0730715040419714,1.8457554375579461,2.3156780770646823,1.674310557047907,2.279557664674474,-0.0591790461526901,1.4312224776497902,1.4319019091989311,0.4578773743654847
307647,-1.9322591664835633,-1.3702954401104088,1.2938286972605322,0.2591451122128962,1.7013870683376544,0.8479460045133083,-0.3269335363657516,1.798895405019835,1.7997493786758263,0.20642602863286152
37245,0.5082143715229375,0.4618847967536392,-0.24970637231741993,-0.2939787548595045,-0.5524405731106024,-0.4110771859501341,0.6098935402206781,-1.1292556473624482,-1.129791728877269,0.11868062765330326
429595,0.540448694514783,0.6437220053452155,-0.014891243883041173,-0.2411010567761362,-0.5005226855028193,-0.4515579084775497,0.0307520932142487,-0.8837124500970576,-0.884131967068277,0.1159712815028596
299851,0.4268586744370056,-0.1389291709502975,-0.46512127206423926,-0.380238838096513,-0.5097532037361543,-0.2026135849107504,0.4606922003473227,-1.132932148753831,-1.1334699755815396,0.08563997616254032
136896,1.5865144198527614,1.3980694609740243,0.07844905287029176,0.0039256502515913,-0.3528057301697286,-0.6081480087931797,-0.2016373397043643,-0.14862486198363517,-0.1486954173457786,0.0778064190865336
150192,0.3498741623714476,0.6391989890894307,-0.40092996008012893,-0.1767843280467872,-0.5115056623692946,-0.4023508026508111,0.4473744725424108,-1.0541456354657681,-1.0546460606710102,0.06644284991313151
439254,0.6728349000833747,0.0196354253648208,-0.3391914693226221,-0.3792596214653393,-0.6458116043838917,-0.2758182448106277,0.1701294423533491,-1.0532948748132167,-1.053794896144402,0.05710901683422137
197168,0.6377387355280096,0.9516059136464466,-0.5640249627961311,-0.4012029759729989,-0.6307878325492375,-0.7131070079211488,0.6407924531424747,-1.1671676689417696,-1.1677217480942428,0.04880404865641058
34495,1.310331399879937,0.6410321058098363,-0.41371546254388347,-0.189514144252042,-0.7405768438365268,-0.4113195854862266,0.2399014732320134,-0.98576574801695,-0.9862337118448836,0.047789034349691284
180718,1.0462995772842103,1.1927603882885534,0.04529275893171173,-0.0401390981512155,-0.4487654224332966,-0.5458513280174572,-0.1753973295781205,-0.3154802949652769,-0.3156300601267938,0.028826429031027806
360967,-0.028676788878629348,-0.8231100990692181,-0.5841935578039694,-0.7135285714704668,-0.487873390677056,-0.1471040911456116,-0.2819445299323756,-1.0541456354657681,-1.0546460606710102,0.0013879439202511556
128532,0.3929728554826783,-0.4934180793496788,-0.6128130237363761,-0.6367490856170929,-0.7516069531509698,-0.2382463167163184,1.4640912164574225,-1.2658938850240058,-1.2664948315971496,-0.0041399349521936135
154818,0.1865996528372711,-0.6250936429018851,-0.578258989371425,-0.6639446020555921,-0.6495442445671208,-0.2004319890859196,0.0032905452161264,-1.1738370247715921,-1.1743942700081884,-0.004658422985928556
236208,-0.14997857229454203,-0.7185228200973603,-0.6986890387792629,-0.680324225704312,-0.6022138784067556,-0.1696472480021965,4.691213877030367,-1.2903912341711328,-1.291003810153499,-0.008503846096669238
415490,0.4459624070150233,0.29719320705238,-0.45582690448172203,-0.3783249146810372,-0.5041827283855711,-0.3999268072898885,-0.153102339468715,-0.778514376193627,-0.7788839534165298,-0.014687918690982432
489624,-0.11948009565618188,0.0738618074798738,-0.6130503503616511,-0.4583091095091618,-0.5005799678658159,-0.3601732833707503,0.0879040689230759,-1.0648029318544254,-1.0653084163034314,-0.015349187227947203
162327,1.2622178504315607,0.3686150210121117,-0.46664611683838825,-0.3912327702737789,-0.6774492807778218,-0.4440435228586876,-0.1914196587922485,-0.7166595191067878,-0.7169997325221564,-0.023089294903614027
458342,0.8661587271131908,0.7125734708600293,-0.14615251769912097,-0.2475994944193776,-0.5586680005103299,-0.4925234300771488,-0.2073562297863642,-0.4751802231727811,-0.4754058012643729,-0.023527764080802788
371912,-0.028676788878629348,0.1018068748751931,-0.6749765408226182,-0.3570046980295785,-0.4761734932249073,-0.2949678081619186,0.0783730618115219,-0.9957393974526642,-0.996212095982709,-0.029610565106550274
161042,-0.18459600314566074,-1.0106757974120657,-0.8709282211137682,-0.8907222718659963,-0.5038707437266935,-0.1965535965084431,-0.6530096155411605,-1.2082852351226687,-1.2088588336525434,-0.03170797149119656
281078,0.5551612067985717,-0.6680523347409636,-0.646413320139604,-0.6867781535006833,-0.6747785569971431,-0.200916788158104,-0.2624418332745369,-1.0314105762417831,-1.0319002086340632,-0.034254793274385936
422516,-0.4342437124196723,-1.160901705167511,-0.8775890505455588,-0.8930812937501853,-0.5115056623692946,-0.1294089250108735,-4.594797723883828,-1.2955565667044806,-1.2961715947793342,-0.03487747628745272
53475,0.7698954261115953,1.4211627466147911,-0.3789169958554009,-0.0422310609541781,-0.7141802616907877,-0.6561431169394568,0.1151861864256865,-0.8277293607282741,-0.8281223013441542,-0.036147153017753536
147180,0.849917786588597,0.7856789626770903,-0.37123409161494136,-0.1454493958492361,-0.6515533634709925,-0.443316324250411,-0.0553661474282392,-0.709435649637356,-0.7097724337292608,-0.037045690161318756
460150,1.3611134480346556,0.810067385131187,-0.5135023971017699,-0.2686526519896065,-0.7258502110120189,-0.5477905243061951,-0.1162647522254715,-0.7253570275636748,-0.7257013698700696,-0.039322110752593564
290884,0.9425548094373178,0.866724639418952,-0.5340973419592817,-0.2444838051383729,-0.6690341211632097,-0.5550625103889653,-0.0638021958696405,-0.7832999048642286,-0.7836717538787005,-0.04518766445413988
36827,1.5600715449425147,0.626905151953664,-0.542546126627751,-0.2962042472030785,-0.7956956003517383,-0.4867058412109333,-0.1228248516923301,-0.7422658955331337,-0.7426182648364058,-0.04810054231205396
321982,0.900603135680923,0.3127746991758309,-0.11393797074859346,-0.002394748004165,-0.4425702646749349,-0.3267221473900123,-0.194982163646949,-0.1877598520009992,-0.1878489855697515,-0.05342743085130061
480125,0.4884461500769402,0.7112085959105974,-0.1434702648084765,-0.2426143915697666,-0.5180839681187381,-0.4854938435304727,-0.21650022469341,-0.4348374568718843,-0.4350438833999474,-0.05663178813993128
256835,0.48304776585866804,0.8877556687492634,-0.6925736232504819,-0.3128509299330287,-0.6507829849383823,-0.6146927962676717,0.0979785761405827,-0.9795293685906581,-0.9799943718775151,-0.05666433146238503
377102,0.8044968211655423,0.094902799401056,-0.6365660796571814,-0.4408167396886535,-0.7628652049973849,-0.3623548791955803,-0.074341462514745,-0.9458635541968388,-0.9463125756103086,-0.0682505495547844
385063,0.7500538824491082,0.085777066162513,-0.48353664146065606,-0.4958754202687254,-0.6204133447721043,-0.3895036272379191,-0.2669242834823384,-0.6657278211125282,-0.6660438561747692,-0.0701489316223037
172070,0.958406072911163,1.3237485330706087,-0.4953659526063403,0.1432414709594529,-0.7182503909608926,-0.4719194695093026,0.1235390243583054,-0.7255089491087733,-0.7258533635355354,-0.07288005488187688
245731,0.8956513102897655,0.5214112772124748,-0.5887169035601253,-0.2711452034144134,-0.7115341213438425,-0.4217427655381964,-0.0794209062266176,-0.7856091123497252,-0.7859820575937796,-0.07710916451566796
172432,0.021235051835929608,1.2775420366073305,-0.6771880262750134,-0.1269332995506827,-0.5239384203417378,-0.6525071238980724,0.1107059796550933,-0.8749237887131115,-0.8753391335210843,-0.08041233159417135
345757,0.4167999000473809,-0.4981403474228972,-0.7231127847274322,-0.6392861468887693,-0.8435188291499807,-0.2423671088298883,0.0700368161622411,-1.1742168286343384,-1.1747742541718529,-0.08808505001043912
327092,0.5428398829399337,-0.186311253136444,-0.7120777197496923,-0.398354345773222,-0.5464676849008446,-0.1960687974362583,-0.1985499819278638,-0.709435649637356,-0.7097724337292608,-0.09388793472507617
